PROPRIÉTÉ,TYPE,ENTITÉ,CONTRAINTE
id_contact,INT,DEMANDES DE CONTACTS,"PRIMARY KEY, AUTO_INCREMENT"
Age,INT,DEMANDES DE CONTACTS,NOT NULL
Nom,VARCHAR (255),DEMANDES DE CONTACTS,NOT NULL
Prenom,VARCHAR (255),DEMANDES DE CONTACTS,NOT NULL
Mail,VARCHAR (255),DEMANDES DE CONTACTS,NOT NULL
Num,INT 13,DEMANDES DE CONTACTS,NOT NULL
Message,VARCHAR (255),DEMANDES DE CONTACTS,NOT NULL
Sujet,VARCHAR (255),DEMANDES DE CONTACTS,NOT NULL
cours,VARCHAR (255),DEMANDES DE CONTACTS,NOT NULL
tranche_age,VARCHAR (255),DEMANDES DE CONTACTS,NOT NULL
date_contact,DATE,DEMANDES DE CONTACTS,NOT NULL
